Country,Year,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male
Algeria,2000,17.5,15.8,30.700001,3296121,76851,3219270
Algeria,2001,17.700001,15.5,30.1,3344091,78444,3265647
Algeria,2002,18,15.2,29.5,3378788,80134,3298655
Algeria,2003,18.799999,14.4,27.9,3297692,81728,3215964
Algeria,2004,19.700001,13.6,26.4,3205753,83812,3121941
Algeria,2005,20.700001,12.9,24.9,3115071,86448,3028623
Algeria,2006,21.6,12.3,23.700001,3051530,90939,2960591
Algeria,2007,22.5,11.8,22.700001,2999483,96011,2903472
Algeria,2008,23.299999,11.4,21.9,2962131,101419,2860712
Algeria,2009,24.1,11.1,21.299999,2944512,107066,2837446
Algeria,2010,24.6,10.9,20.799999,2948128,112915,2835213
Algeria,2011,24.6,11,21,3028690,117718,2910972
Algeria,2012,24.4,11.2,21.299999,3123101,122671,3000430
Bahrain,2000,27.4,12.5,18,57985,8174,49811
Bahrain,2001,28.200001,12.1,17.5,58916,7692,51224
Bahrain,2002,27.200001,12.5,18.1,64235,7864,56371
Bahrain,2003,25.700001,13.2,19,71990,8275,63715
Bahrain,2004,23.9,14.1,20.200001,83000,8989,74011
Bahrain,2005,22,15.2,21.700001,97778,10036,87741
Bahrain,2006,20.1,16.4,23.299999,116897,11444,105453
Bahrain,2007,18.5,17.6,24.9,139652,13153,126499
Bahrain,2008,17.6,18.299999,25.700001,160060,14879,145181
Bahrain,2009,17.1,18.799999,26.200001,177840,16500,161339
Bahrain,2010,16.9,19,26.4,190737,17850,172887
Bahrain,2011,16.9,19.1,26.5,197864,18821,179043
Bahrain,2012,17,19,26.4,200159,19480,180679
Comoros,2000,3.7,12.9,18,39904,12276,27628
Comoros,2001,3.7,12.8,18,40689,12187,28502
Comoros,2002,3.8,12.7,18.1,41455,12033,29422
Comoros,2003,3.8,12.6,18.200001,42119,11769,30350
Comoros,2004,4,12.2,18.299999,41811,10533,31278
Comoros,2005,4.0999999,11.8,18.4,41463,9249,32214
Comoros,2006,4.3000002,11.5,18.5,41248,8061,33187
Comoros,2007,4.4000001,11.2,18.6,41172,7028,34144
Comoros,2008,4.5,11,18.700001,41277,6180,35097
Comoros,2009,4.5999999,10.8,18.700001,41540,5501,36039
Comoros,2010,4.6999998,10.6,18.700001,41912,4974,36938
Comoros,2011,4.8000002,10.5,18.700001,42409,4594,37815
Comoros,2012,4.9000001,10.4,18.700001,43332,4626,38706
Djibouti,2000,11.9,21.6,36.700001,91477,13760,77717
Djibouti,2001,11.9,21.5,36.599998,93745,14101,79644
Djibouti,2002,11.9,21.4,36.400002,95988,14429,81559
Djibouti,2003,11.9,21.299999,36.200001,98229,14758,83471
Djibouti,2004,11.9,21.200001,36,100424,15049,85375
Djibouti,2005,11.8,21.1,35.799999,102722,15357,87365
Djibouti,2006,11.8,21,35.799999,105214,15710,89504
Djibouti,2007,11.7,21,35.700001,107715,16031,91684
Djibouti,2008,11.6,21,35.700001,110482,16461,94020
Djibouti,2009,11.6,21.1,35.799999,113340,16920,96420
Djibouti,2010,11.5,21.200001,36,116287,17384,98903
Djibouti,2011,11.4,21.299999,36.200001,119325,17882,101444
Djibouti,2012,11.3,21.5,36.5,122406,18366,104040
Egypt,2000,21.6,16,31.200001,6814722,168864,6645859
Egypt,2001,21.6,15.9,31,6957251,175595,6781657
Egypt,2002,21.6,15.8,30.9,7102949,181387,6921562
Egypt,2003,21.9,15.5,30.299999,7160985,182761,6978224
Egypt,2004,22.200001,15.3,29.9,7247467,184519,7062948
Egypt,2005,22.299999,15.3,29.799999,7389130,187305,7201825
Egypt,2006,21.799999,15.6,30.5,7721825,195465,7526360
Egypt,2007,21.200001,16.1,31.4,8122593,206425,7916167
Egypt,2008,20.6,16.6,32.5,8564215,219969,8344246
Egypt,2009,20.1,17.200001,33.599998,9024296,236101,8788195
Egypt,2010,19.700001,17.6,34.5,9433610,259612,9173998
Egypt,2011,19.200001,18.1,35.400002,9874626,278473,9596153
Egypt,2012,19.1,18.4,35.799999,10189096,293802,9895295
Iraq,2000,21.700001,17.1,32.400002,2334450,130614,2203837
Iraq,2001,21.700001,17.1,32.400002,2411113,135143,2275970
Iraq,2002,21.700001,17.1,32.200001,2482521,140092,2342429
Iraq,2003,21.6,17,31.9,2542699,145774,2396925
Iraq,2004,21.799999,16.700001,31.299999,2574838,154573,2420265
Iraq,2005,22,16.4,30.700001,2605820,165197,2440623
Iraq,2006,22.200001,16.200001,30.1,2640375,176906,2463469
Iraq,2007,22.200001,16.200001,30.1,2704780,185727,2519054
Iraq,2008,22.1,16.200001,30.1,2779267,194082,2585185
Iraq,2009,21.9,16.200001,30.200001,2866243,201869,2664374
Iraq,2010,21.799999,16.299999,30.299999,2967864,209292,2758571
Iraq,2011,21.700001,16.4,30.5,3085341,216618,2868723
Iraq,2012,21.6,16.5,30.700001,3216218,223807,2992412
Jordan,2000,16.9,26.1,42.400002,754351,111460,642891
Jordan,2001,16.6,26,42.299999,763991,113936,650054
Jordan,2002,16.4,25.9,42.200001,774338,116515,657823
Jordan,2003,16.1,25.700001,42.200001,786644,118183,668461
Jordan,2004,15.8,25.6,42.200001,804496,120786,683710
Jordan,2005,15.5,25.5,42.200001,829977,124519,705458
Jordan,2006,15.1,25.4,42.200001,864788,129582,735206
Jordan,2007,14.7,25.4,42.200001,908328,136034,772295
Jordan,2008,14.2,25.5,42.200001,960498,145496,815003
Jordan,2009,13.8,25.6,42.299999,1017355,156084,861271
Jordan,2010,13.4,25.6,42.400002,1074351,165824,908527
Jordan,2011,13.1,25.700001,42.599998,1133394,175960,957434
Jordan,2012,12.9,25.799999,42.700001,1193396,186134,1007262
Kuwait,2000,21.200001,22.799999,35,322694,16154,306540
Kuwait,2001,21,22.6,34.799999,333089,16681,316408
Kuwait,2002,20.799999,22.5,34.599998,343264,17106,326158
Kuwait,2003,20.6,22.6,34.599998,356010,17588,338421
Kuwait,2004,20.6,22.799999,34.700001,372145,18222,353923
Kuwait,2005,20.799999,23,35,392891,19098,373794
Kuwait,2006,20.9,23.200001,35.299999,418233,20200,398033
Kuwait,2007,21.1,23.5,35.700001,447159,21515,425644
Kuwait,2008,21.4,23.700001,36.099998,478596,22973,455623
